"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
7229217,"power","power-cruiser","Carver","3207 Aft Cabin",1984,"used",32,117,NA,"other","other",1,0,NA,NA,NA,19900,27369,"Red Wing","MN",NA,"2019-09-24",9,2019
7121237,"power","power-center","Everglades","350",2008,"used",35,10.67,NA,"fiberglass","gasoline",3,1050,NA,NA,"outboard",179900,245527,"Port St. Lucie","FL","34592","2019-06-19",6,2019
6842735,"power","power-jon","Tracker","Topper 1036 Riveted Jon",2019,"new",9.83,4.33,112,"aluminum","",1,0,NA,NA,"outboard",789,1060,"Midland","TX","79707","2018-09-13",9,2018
5411806,"power","power-bowrider","Sea-Doo","Speedster",2006,"used",20,8,2770,"fiberglass","gasoline",1,0,NA,NA,"",17900,5571,"New Windsor","NY","12553","2015-10-08",10,2015
7268385,"power","power-cruiser","Yamaha Boats","AR195",2020,"new",20,98,NA,"other","other",1,0,NA,NA,"",38599,46516,"Wayzata","MN",NA,"2019-10-30",10,2019
5860913,"power","power-center","Bay Stealth","2430",2000,"used",24,8.33,2300,"fiberglass","gasoline",1,300,2008,2008,"outboard-2s",28750,14284,"Seabrook","TX","","2016-07-06",7,2016
7189390,"power","power-bass","Nitro","Z19 pro package",2020,"new",19,NA,NA,"other","other",1,0,NA,NA,"",46620,12868,"Warsaw","MO",NA,"2019-08-20",8,2019
6943860,"power","power-deck","Hurricane","SunDeck SD 2486 OB",2019,"new",24,9,NA,"fiberglass","other",1,0,NA,NA,"",67900,154750,"Fort Lauderdale","FL","33315","2018-12-22",12,2018
7218992,"power","power-pontoon","Ranger","220FC",2020,"new",22,NA,NA,"other","other",1,0,NA,NA,"",40135,12868,"Warsaw","MO",NA,"2019-09-14",9,2019
7055543,"power","power-jon","Tracker","Topper 1036 Riveted Jon",2019,"new",9.83,4.33,112,"aluminum","",1,0,NA,NA,"outboard",789,2933,"Millville","NJ","08332","2019-04-19",4,2019
6219877,"power","power-other","Yamaha Outboards","F20",2019,"new",3,1,NA,"other","gasoline",1,20,NA,NA,"outboard",3299,34547,"Searcy","AR","72143","2017-04-28",4,2017
6857759,"power","power-cruiser","Albin","28 Tournament",2000,"used",28,10,7500,"fiberglass","diesel",1,315,2000,2000,"inboard",49900,30041,"Palmetto","FL","34221","2018-09-27",9,2018
6839320,"power","power-pontoon","Sun Tracker","Party Barge 22 RF DLX",2019,"new",24.17,8.5,2000,"aluminum","",1,115,NA,NA,"outboard",33640,152266,"Kennesaw","GA","30152","2018-09-11",9,2018
7112914,"sail","sail-other","Jackhelms C","Sail",1977,"used",24,NA,NA,"fiberglass","other",1,0,NA,NA,"",7300,103894,"Wrightsville","PA",NA,"2019-06-13",6,2019
7041942,"power","power-bass","Nitro","Z18",2019,"new",18.67,7.83,1700,"fiberglass","gasoline",1,150,NA,NA,"outboard",34155,1114,"New Braunfels","TX","78132","2019-04-08",4,2019
6792969,"power","power-bass","Nitro","Z18",2019,"new",18.67,7.83,1700,"fiberglass","gasoline",1,150,NA,NA,"outboard",34585,155595,"Hoffman Estates","IL","60192","2018-08-01",8,2018
6902869,"power","power-pontoon","Sun Tracker","Party Barge 22 DLX",2019,"new",24.17,8.5,1920,"aluminum","",1,115,NA,NA,"outboard",32245,1173,"Smyrna","DE","19977","2018-11-07",11,2018
7271050,"power","power-runabout","Sea Ray","210 SLX",2012,"used",21,8.5,NA,"fiberglass","gasoline",1,260,NA,NA,"inboard",34500,269549,"Reston","VA",NA,"2019-11-01",11,2019
6700594,"power","power-aluminum","Tracker","Targa V-18 WT",2018,"new",19.08,8.5,2060,"aluminum","",1,150,NA,NA,"outboard",29945,60580,"Bridgeport","CT","06608","2018-05-03",5,2018
7185682,"power","power-bowrider","Scarab","215ID/IMPULSE",2020,"new",21,8.33,NA,"fiberglass","gasoline",2,0,NA,NA,"",68878,185684,"Waterford","MI","48328","2019-08-17",8,2019
